Name	SMILES	InChI	InChIKey	Molecular Weight
Schrodinger_fragment_299_a	Cn1ncc2c([O-])ncnc21	InChI=1S/C6H6N4O/c1-10-5-4(2-9-10)6(11)8-3-7-5/h2-3H,1H3,(H,7,8,11)/p-1	CDJQIJFWTUEUFF-UHFFFAOYSA-M	149.13299999999998
Schrodinger_fragment_399	CN1C[C@H]2N(CCC[N@@H+]2C)CC1=O	InChI=1S/C9H17N3O/c1-10-4-3-5-12-7-9(13)11(2)6-8(10)12/h8H,3-7H2,1-2H3/p+1/t8-/m1/s1	JOCPCMZUIOZPLT-MRVPVSSYSA-O	184.263
Schrodinger_fragment_276	C[N@H+]1CC(=O)N2CCC[C@@H]2C1	InChI=1S/C8H14N2O/c1-9-5-7-3-2-4-10(7)8(11)6-9/h7H,2-6H2,1H3/p+1/t7-/m1/s1	HVFCTJUBOVZANZ-SSDOTTSWSA-O	155.221
Schrodinger_fragment_114	Cn1ccc2cc[nH+]cc21	InChI=1S/C8H8N2/c1-10-5-3-7-2-4-9-6-8(7)10/h2-6H,1H3/p+1	GGPMDNQTEJJLMQ-UHFFFAOYSA-O	133.17399999999998
Schrodinger_fragment_393_a	CN1CCC[N@@H+]2CC(=O)NC[C@H]12	InChI=1S/C8H15N3O/c1-10-3-2-4-11-6-7(12)9-5-8(10)11/h8H,2-6H2,1H3,(H,9,12)/p+1/t8-/m1/s1	VXCAQXFQANYBOR-MRVPVSSYSA-O	170.23600000000002
Schrodinger_fragment_171	[NH3+]CC(=O)[O-]	InChI=1S/C2H5NO2/c3-1-2(4)5/h1,3H2,(H,4,5)	DHMQDGOQFOQNFH-UHFFFAOYSA-N	75.067
Schrodinger_fragment_407	CN1C[C@@H]2NCCC[N@H+]2CC1=O	InChI=1S/C8H15N3O/c1-10-5-7-9-3-2-4-11(7)6-8(10)12/h7,9H,2-6H2,1H3/p+1/t7-/m1/s1	OUTJKHQOQWZXJA-SSDOTTSWSA-O	170.23600000000002
Schrodinger_fragment_101	c1cnncn1	InChI=1S/C3H3N3/c1-2-5-6-3-4-1/h1-3H	FYADHXFMURLYQI-UHFFFAOYSA-N	81.07799999999999
Schrodinger_fragment_69	CC(=O)N1CC[NH2+]CC1	InChI=1S/C6H12N2O/c1-6(9)8-4-2-7-3-5-8/h7H,2-5H2,1H3/p+1	PKDPUENCROCRCH-UHFFFAOYSA-O	129.183
Schrodinger_fragment_153_a	C[N@@H+]1CCCc2ccccc21	InChI=1S/C10H13N/c1-11-8-4-6-9-5-2-3-7-10(9)11/h2-3,5,7H,4,6,8H2,1H3/p+1	YVBSECQAHGIWNF-UHFFFAOYSA-O	148.22899999999998
Schrodinger_fragment_280_a	[O-]C1=NCCn2nccc21	InChI=1S/C6H7N3O/c10-6-5-1-2-8-9(5)4-3-7-6/h1-2H,3-4H2,(H,7,10)/p-1	GLQXAHBYDJPCHG-UHFFFAOYSA-M	136.134
Schrodinger_fragment_397_a	C[N@@H+]1CCCN2CC([O-])=NC[C@@H]21	InChI=1S/C8H15N3O/c1-10-3-2-4-11-6-7(12)9-5-8(10)11/h8H,2-6H2,1H3,(H,9,12)/t8-/m1/s1	VXCAQXFQANYBOR-MRVPVSSYSA-N	169.228
Schrodinger_fragment_253	O=C1NCC[C@]12CCC[NH2+]2	InChI=1S/C7H12N2O/c10-6-7(3-5-8-6)2-1-4-9-7/h9H,1-5H2,(H,8,10)/p+1/t7-/m1/s1	KSQRQLBTULNMJS-SSDOTTSWSA-O	141.194
Schrodinger_fragment_156_a	c1cc2c(c[nH+]1)CCCC2	InChI=1S/C9H11N/c1-2-4-9-7-10-6-5-8(9)3-1/h5-7H,1-4H2/p+1	HTMGQIXFZMZZKD-UHFFFAOYSA-O	134.202
Schrodinger_fragment_306_a	Cn1ncc2ncnc([O-])c21	InChI=1S/C6H6N4O/c1-10-5-4(2-9-10)7-3-8-6(5)11/h2-3H,1H3,(H,7,8,11)/p-1	JAFSZKZHCNWJIY-UHFFFAOYSA-M	149.13299999999998
Schrodinger_fragment_220_a	O=c1[nH]ccnc1[O-]	InChI=1S/C4H4N2O2/c7-3-4(8)6-2-1-5-3/h1-2H,(H,5,7)(H,6,8)/p-1	CIGLZLCKRXOFQU-UHFFFAOYSA-M	111.07999999999998
Schrodinger_fragment_433	CN1CC(=O)NCc2ccccc21	InChI=1S/C10H12N2O/c1-12-7-10(13)11-6-8-4-2-3-5-9(8)12/h2-5H,6-7H2,1H3,(H,11,13)	VHACYSRLRVHYAU-UHFFFAOYSA-N	176.21899999999997
Schrodinger_fragment_78_a	c1ccc2[nH+]c[nH]c2c1	InChI=1S/C7H6N2/c1-2-4-7-6(3-1)8-5-9-7/h1-5H,(H,8,9)/p+1	HYZJCKYKOHLVJF-UHFFFAOYSA-O	119.14699999999998
Schrodinger_fragment_197_a	[O-]c1ccccn1	InChI=1S/C5H5NO/c7-5-3-1-2-4-6-5/h1-4H,(H,6,7)/p-1	UBQKCCHYAOITMY-UHFFFAOYSA-M	94.09299999999999
Schrodinger_fragment_165	c1cnc2ncncc2n1	InChI=1S/C6H4N4/c1-2-9-6-5(8-1)3-7-4-10-6/h1-4H	CPNGPNLZQNNVQM-UHFFFAOYSA-N	132.12599999999998
Schrodinger_fragment_313	Cn1cnc2c1c(=O)[nH]c(=O)n2C	InChI=1S/C7H8N4O2/c1-10-3-8-5-4(10)6(12)9-7(13)11(5)2/h3H,1-2H3,(H,9,12,13)	YAPQBXQYLJRXSA-UHFFFAOYSA-N	180.16699999999997
Schrodinger_fragment_189_a	O=C1CN=C([O-])N1	InChI=1S/C3H4N2O2/c6-2-1-4-3(7)5-2/h1H2,(H2,4,5,6,7)/p-1	WJRBRSLFGCUECM-UHFFFAOYSA-M	99.06899999999999
Schrodinger_fragment_425	O=C1CCc2ccccc2CN1	InChI=1S/C10H11NO/c12-10-6-5-8-3-1-2-4-9(8)7-11-10/h1-4H,5-7H2,(H,11,12)	SRQMOHGEWMZUOI-UHFFFAOYSA-N	161.204
Schrodinger_fragment_152_a	c1ccc2c(c1)CCC[NH2+]2	InChI=1S/C9H11N/c1-2-6-9-8(4-1)5-3-7-10-9/h1-2,4,6,10H,3,5,7H2/p+1	LBUJPTNKIBCYBY-UHFFFAOYSA-O	134.20199999999997
Schrodinger_fragment_113	c1cc2cc[nH+]cc2[nH]1	InChI=1S/C7H6N2/c1-3-8-5-7-6(1)2-4-9-7/h1-5,9H/p+1	XLKDJOPOOHHZAN-UHFFFAOYSA-O	119.14699999999998
Schrodinger_fragment_275	C[N@@H+]1CC(=O)N2CCC[C@@H]2C1	InChI=1S/C8H14N2O/c1-9-5-7-3-2-4-10(7)8(11)6-9/h7H,2-6H2,1H3/p+1/t7-/m1/s1	HVFCTJUBOVZANZ-SSDOTTSWSA-O	155.221
Schrodinger_fragment_181_a	O=C1CSC(=O)[N-]1	InChI=1S/C3H3NO2S/c5-2-1-7-3(6)4-2/h1H2,(H,4,5,6)/p-1	ZOBPZXTWZATXDG-UHFFFAOYSA-M	116.121
