Name	SMILES	InChI	InChIKey	Molecular Weight
Schrodinger_fragment_100	c1ncncn1	InChI=1S/C3H3N3/c1-4-2-6-3-5-1/h1-3H	JIHQDMXYYFUGFV-UHFFFAOYSA-N	81.07799999999999
Schrodinger_fragment_101	c1cnncn1	InChI=1S/C3H3N3/c1-2-5-6-3-4-1/h1-3H	FYADHXFMURLYQI-UHFFFAOYSA-N	81.07799999999999
Schrodinger_fragment_102	c1cc2c(s1)CCCC2	InChI=1S/C8H10S/c1-2-4-8-7(3-1)5-6-9-8/h5-6H,1-4H2	CBKDCOKSXCTDAA-UHFFFAOYSA-N	138.23499999999999
Schrodinger_fragment_103	c1cc2c(o1)CCCC2	InChI=1S/C8H10O/c1-2-4-8-7(3-1)5-6-9-8/h5-6H,1-4H2	YCVAGNVTZICLNM-UHFFFAOYSA-N	122.16699999999999
Schrodinger_fragment_104	c1cc2c([nH]1)CCCC2	InChI=1S/C8H11N/c1-2-4-8-7(3-1)5-6-9-8/h5-6,9H,1-4H2	KQBVVLOYXDVATK-UHFFFAOYSA-N	121.18299999999999
Schrodinger_fragment_105	c1ccc2c(c1)CCN2	InChI=1S/C8H9N/c1-2-4-8-7(3-1)5-6-9-8/h1-4,9H,5-6H2	LPAGFVYQRIESJQ-UHFFFAOYSA-N	119.16700000000002
Schrodinger_fragment_106	c1ccc2c(c1)C[NH2+]C2	InChI=1S/C8H9N/c1-2-4-8-6-9-5-7(8)3-1/h1-4,9H,5-6H2/p+1	GWVMLCQWXVFZCN-UHFFFAOYSA-O	120.17500000000003
Schrodinger_fragment_107	c1ccc2scnc2c1	InChI=1S/C7H5NS/c1-2-4-7-6(3-1)8-5-9-7/h1-5H	IOJUPLGTWVMSFF-UHFFFAOYSA-N	135.191
Schrodinger_fragment_108	c1ccc2ocnc2c1	InChI=1S/C7H5NO/c1-2-4-7-6(3-1)8-5-9-7/h1-5H	BCMCBBGGLRIHSE-UHFFFAOYSA-N	119.123
Schrodinger_fragment_109	c1ccc2oncc2c1	InChI=1S/C7H5NO/c1-2-4-7-6(3-1)5-8-9-7/h1-5H	KTZQTRPPVKQPFO-UHFFFAOYSA-N	119.123
Schrodinger_fragment_110	c1cnc2occc2c1	InChI=1S/C7H5NO/c1-2-6-3-5-9-7(6)8-4-1/h1-5H	RCFDIXKVOHJQPP-UHFFFAOYSA-N	119.12299999999996
Schrodinger_fragment_111	c1cnc2cc[nH]c2c1	InChI=1S/C7H6N2/c1-2-6-7(8-4-1)3-5-9-6/h1-5,9H	XWIYUCRMWCHYJR-UHFFFAOYSA-N	118.139
